SUMMARY,FIRSTNAME,LASTNAME
"To do - task 1",John,Smith
"To do - task 2",Zachary,Lee
"To do - task 3",Stephanie,Kovalsky
"To do - task 4",Thomas,Landgren
"To do - task 5",John,Thomson
"In progress - task 1",Zachary,Lee
"In progress - task 2",Stephanie,Kovalsky
"In progress - task 3",Thomas,Landgren
"In progress - task 4",John,Thomson
"In progress - task 5",Zachary,Lee
"Done - task 1",Stephanie,Kovalsky
"Done - task 2",Thomas,Landgren
"Done - task 3",John,Thomson
"Done - task 4",Zachary,Lee
"Done - task 5",Stephanie,Kovalsky
